Age,NOC,Sport
26.0,PRK,Wrestling
24.0,GDR,Fencing
24.0,GDR,Fencing
27.0,HUN,Handball
22.0,GBR,Rowing
20.0,GDR,Diving
20.0,GDR,Diving
28.0,GDR,Handball
18.0,GBR,Diving
21.0,HUN,Handball
28.0,GBR,Athletics
20.0,PRK,Boxing
22.0,PRK,Shooting
21.0,FRA,Fencing
21.0,FRA,Fencing
23.0,GBR,Rowing
17.0,GBR,Gymnastics
17.0,GBR,Gymnastics
17.0,GBR,Gymnastics
17.0,GBR,Gymnastics
17.0,GBR,Gymnastics
22.0,GBR,Cycling
23.0,PRK,Boxing
27.0,HUN,Canoeing
27.0,HUN,Canoeing
25.0,URS,Basketball
27.0,HUN,Volleyball
23.0,GDR,Fencing
29.0,GBR,Rowing
32.0,URS,Water Polo
25.0,AUS,Weightlifting
17.0,URS,Swimming
17.0,URS,Swimming
22.0,URS,Rowing
21.0,URS,Diving
